date,sorted_tags,paper,paper_country,mentioned_countries,headline,summary,news,link
30/4/2020,coronavirus;technology;government,Guardian,UK,, Five already dead by time UK reported first coronavirus death, Official data shows first fatality happened three days before government announcement, official data shows first fatality happened three days government announcement,https://www.theguardian.com/world/2020/apr/30/five-already-dead-by-time-uk-reported-first-coronavirus-death
30/4/2020,coronavirus;government,Guardian,UK,china;malaysia, Condom sales down as lockdown limits sex lives  says Durex maker, Physical distancing rules to limit coronavirus spread taking toll on ‘number of intimate occasions’, physical distancing rules limit coronavirus spread taking toll ‘number intimate occasions’,https://www.theguardian.com/society/2020/apr/30/condom-sales-down-as-lockdown-limits-sex-lives-says-durex-makers
30/4/2020,coronavirus;technology,Guardian,UK,, ITV considers filming Love Island in Cornwall or cancelling series, Reality show has already been delayed  while soaps could soon run out of episodes, reality show already delayed  soaps could soon run episodes,https://www.theguardian.com/media/2020/apr/30/itv-considers-filming-love-island-in-cornwall-or-cancelling-series
30/4/2020,,Guardian,UK,, Virus pressure on NHS makes shielding BAME staff hard  say bosses, , ,https://www.theguardian.com/society/2020/apr/30/stretched-hospitals-cannot-easily-redeploy-bame-staff-bosses-say
01/5/2020,coronavirus;technology,Guardian,UK,ireland, British BAME Covid-19 death rate 'more than twice that of whites', IFS report says number of UK deaths looks disproportionate in most ethnic minority groups, ifs report says number uk deaths looks disproportionate ethnic minority groups,https://www.theguardian.com/world/2020/may/01/british-bame-covid-19-death-rate-more-than-twice-that-of-whites
30/4/2020,technology;coronavirus,Guardian,UK,germany, From Meltdown to Lockdown: theatre festival coming to a radio near you, Four stage shows will be performed by actors using sterilised studio kit at home, four stage shows performed actors using sterilised studio kit home,https://www.theguardian.com/stage/2020/apr/30/from-meltdown-to-lockdown-the-theatre-festival-coming-to-a-radio-near-you
30/4/2020,coronavirus;technology,Guardian,UK,australia;ireland, Warning over 'hidden effect of coronavirus' after grandfather's suicide, ‘Pick up the phone to loved ones’  urges grandson after Dennis Ward’s death, ‘pick phone loved ones’  urges grandson dennis ward’s death,https://www.theguardian.com/uk-news/2020/apr/30/pick-up-the-phone-to-loved-ones-urges-man-after-grandfathers-suicide
01/5/2020,coronavirus;government,Guardian,UK,, UK food banks face record demand in coronavirus crisis, Charities call for urgent boost to benefits  especially for families with children, charities call urgent boost benefits  especially families children,https://www.theguardian.com/society/2020/may/01/uk-food-banks-face-record-demand-in-coronavirus-crisis
30/4/2020,coronavirus,Guardian,UK,, US intelligence agencies under pressure to link coronavirus to Chinese labs, , ,https://www.theguardian.com/world/2020/apr/30/cia-pushes-back-at-trump-efforts-to-link-coronavirus-to-chinese-laboratories
01/5/2020,coronavirus;technology,Guardian,UK,china, Ms Du  door sensors and me: life with a Beijing Covid-19 quarantine handler, China’s coronavirus measures are often seen as tough and effective - but how well do they really work?, china’s coronavirus measures often seen tough effective   well really work ,https://www.theguardian.com/world/2020/may/01/life-with-a-beijing-covid-19-quarantine-handler-coronavirus
30/4/2020,coronavirus;technology,Guardian,UK,germany;denmark;spain;france;italy, Danes and Czechs say easing lockdowns has produced no Covid-19 surge, Encouraging signs from EU states who acted early  as South Korea reports no new cases, encouraging signs eu states acted early  south korea reports new cases,https://www.theguardian.com/world/2020/apr/30/danes-and-czechs-say-easing-lockdowns-has-produced-no-covid-19-surge
30/4/2020,coronavirus;technology,Guardian,UK,brazil;china, 'Utter disaster': Manaus fills mass graves as Covid-19 hits the Amazon, Emergency measures pile pain on to mourning families as coronavirus tears through the ill-prepared jungle-flanked cityby Tom Phillips in Rio de Janeiro and Fabiano Maisonnave in Manaus, emergency measures pile pain mourning families coronavirus tears ill prepared jungle flanked cityby tom phillips rio de janeiro fabiano maisonnave manaus,https://www.theguardian.com/world/2020/apr/30/brazil-manaus-coronavirus-mass-graves
30/4/2020,coronavirus;technology,Guardian,UK,brazil;china;spain;italy, Bolsonaro faces calls to change tack on Covid-19 as Rio heads for ‘great hardship’, Rio’s health secretary said intensification of containment measures was only way to avoid surge in deaths and social turmoil, rio’s health secretary said intensification containment measures way avoid surge deaths social turmoil,https://www.theguardian.com/world/2020/apr/30/brazil-rio-coronavirus-great-hardship-bolsonaro
30/4/2020,coronavirus;technology,Guardian,UK,australia;bahamas;bermuda;brazil;france;indonesia;india;liberia;panama;philippines;uruguay, Revealed: 100 000 crew never made it off cruise ships amid coronavirus crisis, Guardian investigation finds workers stranded on at least 50 ships with Covid-19 outbreaks  limited medical equipment  some without pay  and no end in sight, guardian investigation finds workers stranded least 50 ships covid 19 outbreaks  limited medical equipment  without pay  end sight,https://www.theguardian.com/environment/2020/apr/30/no-end-in-sight-100000-crew-on-cruise-ships-stranded-at-sea-coronavirus
01/5/2020,coronavirus;technology,Guardian,UK,australia;bulgaria;bahamas;bermuda;france;japan;liberia, ‘No one comes': the cruise ship crews cast adrift by coronavirus, From the Galapagos to Dubai crew have been left marooned amid squabbles over who is responsible for their welfare, galapagos dubai crew left marooned amid squabbles responsible welfare,https://www.theguardian.com/environment/2020/may/01/no-one-comes-the-cruise-ship-crews-cast-adrift-by-coronavirus
30/4/2020,technology;coronavirus,Guardian,UK,spain;ireland;malaysia, Two pizzas and a spliff please: Interpol warns of lockdown drug deliveries, Common sight of food couriers on streets providing ‘perfect cover’ for home drug deliveries, common sight food couriers streets providing ‘perfect cover’ home drug deliveries,https://www.theguardian.com/society/2020/apr/30/two-pizzas-and-a-spliff-please-interpol-warns-of-lockdown-drug-deliveries
30/4/2020,coronavirus;technology,Guardian,UK,germany;spain;france;italy, As eurozone records 3.8% slump ECB chief warns of worse to come, Christine Lagarde says there could be a 15% collapse after record first quarter output fall, christine lagarde says could 15  collapse record first quarter output fall,https://www.theguardian.com/business/2020/apr/30/eurozone-suffers-record-slump-as-coronavirus-lockdown-reverses-growth
01/5/2020,coronavirus;technology;government,Guardian,UK,, More help needed for British industrial sector  says head of Make UK, Manufacturers will face issues ‘for some time’ after coronavirus lockdown ends  ministers told, manufacturers face issues ‘for time’ coronavirus lockdown ends  ministers told,https://www.theguardian.com/business/2020/may/01/more-help-needed-for-british-industrial-sector-says-head-of-make-uk
30/4/2020,technology;coronavirus,Guardian,UK,, Another 3.8 million Americans lose jobs as US unemployment continues to grow, Pace of job losses appears to be slowing but figures increase and many people yet to receive benefits as backlog hits US system, pace job losses appears slowing figures increase many people yet receive benefits backlog hits us system,https://www.theguardian.com/business/2020/apr/30/us-unemployment-americans-jobless-coronavirus-pandemic
30/4/2020,coronavirus;technology,Guardian,UK,france, UK Treasury rushes to finalise coronavirus bounce back loan scheme, Details of Rishi Sunak’s small business support yet to be agreed  days ahead of launch, details rishi sunak’s small business support yet agreed  days ahead launch,https://www.theguardian.com/business/2020/apr/30/uk-treasury-rushes-to-finalise-coronavirus-bounce-back-loan-scheme
30/4/2020,coronavirus;government,Guardian,UK,, Lloyds profits crash 95% as bank covers expected surge in bad debts, Bank sets aside £1.4bn for potential defaults by customers struggling amid coronavirus lockdown, bank sets aside £1 4bn potential defaults customers struggling amid coronavirus lockdown,https://www.theguardian.com/business/2020/apr/30/lloyds-bank-profits-crash-95-to-cover-expected-surge-in-bad-debts
30/4/2020,coronavirus,Guardian,UK,, AstraZeneca partners with Oxford University to produce Covid-19 vaccine, , ,https://www.theguardian.com/society/2020/apr/30/astrazeneca-partners-with-oxford-university-to-produce-covid-19-vaccine
30/4/2020,coronavirus;technology,Guardian,UK,chad, Shell cuts dividend for first time since 1945 amid oil price collapse, First-quarter payout from FTSE 100’s biggest dividend payer to fall by two-thirds amid coronavirus crisis, first quarter payout ftse 100’s biggest dividend payer fall two thirds amid coronavirus crisis,https://www.theguardian.com/business/2020/apr/30/shell-cuts-dividend-for-first-time-since-1945-amid-oil-price-collapse
30/4/2020,technology;coronavirus,Guardian,UK,, Hospital chiefs 'increasingly frustrated' with UK testing failures, NHS Providers lambasts comprehensively missed target of 100 000 daily test as a ‘red herring’, nhs providers lambasts comprehensively missed target 100 000 daily test ‘red herring’,https://www.theguardian.com/world/2020/apr/30/hospital-chiefs-increasingly-frustrated-with-uk-testing-failures
30/4/2020,coronavirus;technology,Guardian,UK,, NHS looks into taking BAME staff off frontline for their safety, Drive to risk-assess minority ethnic workers aims to reduce higher death rate from Covid-19, drive risk assess minority ethnic workers aims reduce higher death rate covid 19,https://www.theguardian.com/world/2020/apr/30/nhs-bosses-say-bame-staff-should-be-risk-assessed-to-cut-covid-19
29/4/2020,coronavirus;technology,Guardian,UK,australia, Guardian reports surge in readers’ support over past year, 821 000 people now making financial contributions  up a quarter on last year, 821 000 people making financial contributions  quarter last year,https://www.theguardian.com/media/2020/apr/29/guardian-reports-surge-in-readers-support-over-past-year
29/4/2020,coronavirus;technology,Guardian,UK,, BBC likely to make cuts to output with £125m fall in income forecast, Boss Tony Hall says licence fee and commercial revenues are being hit by Covid-19 pandemic, boss tony hall says licence fee commercial revenues hit covid 19 pandemic,https://www.theguardian.com/media/2020/apr/29/bbc-likely-to-make-cuts-to-output-after-income-forecast-to-drop-125m
29/4/2020,coronavirus;technology,Guardian,UK,china, Pets get cameras as channels are forced to innovate in pandemic, Channel 4’s new show Snoop Dogs is sign of push to find ways to film TV while physical distancing, channel 4’s new show snoop dogs sign push find ways film tv physical distancing,https://www.theguardian.com/world/2020/apr/29/channel-4-commissions-through-the-keyhole-with-dogs
29/4/2020,coronavirus,Guardian,UK,, 'Sorry we didn’t leave the cot!': politicians cheer PM and Symonds, Boris Johnson plans to take a delayed paternity leave with crucial coronavirus decisions to be made, boris johnson plans take delayed paternity leave crucial coronavirus decisions made,https://www.theguardian.com/politics/2020/apr/29/politicians-boris-johnson-carrie-symonds-baby-downing-street-congratulations
29/4/2020,coronavirus;technology,Guardian,UK,germany, Sub Dom hankers for Daddy as Keir kills him with kindness, Raab  the country solicitor stand-in  was again at the mercy of the top QC’s mastery of his brief, raab  country solicitor stand  mercy top qc’s mastery brief,https://www.theguardian.com/politics/2020/apr/29/starmer-kills-raab-with-kindness-in-pmqs
29/4/2020,coronavirus;technology,Guardian,UK,, Carrie Symonds: a media-savvy history-maker in No 10, The PM’s partner has been on one emotional rollercoaster  and now faces another, pm’s partner one emotional rollercoaster  faces another,https://www.theguardian.com/uk-news/2020/apr/29/carrie-symonds-a-media-savvy-history-maker-in-no-10
29/4/2020,technology;coronavirus,Guardian,UK,, Johnson's baby marks new chapter in PM's very public private life, After a tumultuous four months  the PM enters a familiar Downing Street balancing act, tumultuous four months  pm enters familiar downing street balancing act,https://www.theguardian.com/politics/2020/apr/29/johnsons-baby-rounds-off-an-extraordinary-four-months-in-office
29/4/2020,coronavirus;technology,Guardian,UK,, Third of UK Covid-19 patients taken to hospital die  study finds, Authors of the study said the observed death rates put the illness on a par with Ebola, authors study said observed death rates put illness par ebola,https://www.theguardian.com/uk-news/2020/apr/29/study-finds-a-third-of-uk-covid-19-patients-taken-to-hospital-are-dying
29/4/2020,technology;coronavirus,Guardian,UK,, Hospital investigates death of NHS doctor who pleaded for PPE, Exclusive: Royal Berkshire trust launches serious incident inquiry into death of Peter Tun, exclusive  royal berkshire trust launches serious incident inquiry death peter tun,https://www.theguardian.com/world/2020/apr/29/hospital-investigates-death-of-nhs-doctor-peter-tun-who-pleaded-for-ppe
29/4/2020,government;coronavirus;technology,Guardian,UK,, Government rushes out request for experts to work with Sage panel, Notice sent to universities amid concern over lack of expertise in parts of Covid-19 advisory group, notice sent universities amid concern lack expertise parts covid 19 advisory group,https://www.theguardian.com/science/2020/apr/29/government-rushes-out-request-for-experts-bolster-sage-panel
29/4/2020,coronavirus;technology,Guardian,UK,iraq, NHS staff coronavirus inquests told not to look at PPE shortages, Exclusive: guidance to avoid examining systemic failures is ‘very worrying’  says Labour, exclusive  guidance avoid examining systemic failures ‘very worrying’  says labour,https://www.theguardian.com/society/2020/apr/29/inquests-nhs-staff-deaths-ppe-shortages
29/4/2020,coronavirus;technology,Guardian,UK,china;germany;spain;france;italy;malawi, Revealed: the inside story of the UK's Covid-19 crisis, How herd immunity and delayed lockdown hampered efforts to contain the spread of coronavirusby David Conn  Felicity Lawrence  Paul Lewis  Severin Carrell  David Pegg  Harry Davies and Rob Evans, herd immunity delayed lockdown hampered efforts contain spread coronavirusby david conn  felicity lawrence  paul lewis  severin carrell  david pegg  harry davies rob evans,https://www.theguardian.com/world/2020/apr/29/revealed-the-inside-story-of-uk-covid-19-coronavirus-crisis
29/4/2020,coronavirus;technology,Guardian,UK,, Schools across England will reopen in phases  says education secretary, Gavin Williamson did not say when closures due to coronavirus would end as he was grilled by select committee, gavin williamson say closures due coronavirus would end grilled select committee,https://www.theguardian.com/education/2020/apr/29/coronavirus-schools-across-england-reopen-phases-education-secretary-gavin-williamson
29/4/2020,technology;coronavirus,Guardian,UK,germany;jersey, UK turned down offer of 10 000 tests a day four weeks ago, Government declined ‘game-changing’ US-approved coronavirus saliva tests, government declined ‘game changing’ us approved coronavirus saliva tests,https://www.theguardian.com/world/2020/apr/29/uk-turned-down-offer-of-10000-coronavirus-tests-a-day-four-weeks-ago
29/4/2020,coronavirus;technology,Guardian,UK,china, 'Social bubbles' of small groups could be early step out of UK lockdown, Boris Johnson believed to be looking at plan to let people add close family to their households, boris johnson believed looking plan let people add close family households,https://www.theguardian.com/world/2020/apr/29/social-bubbles-of-small-groups-could-be-early-step-out-of-lockdown
29/4/2020,coronavirus;government,Guardian,UK,brazil, 'So what?': Bolsonaro shrugs off Brazil's rising coronavirus death toll, Outrage at president’s response to news that more than 5 000 people have lost their lives, outrage president’s response news 5 000 people lost lives,https://www.theguardian.com/world/2020/apr/29/so-what-bolsonaro-shrugs-off-brazil-rising-coronavirus-death-toll
29/4/2020,coronavirus;technology,Guardian,UK,germany;spain;china;france;india;italy, Spain and Germany deal blow to hopes of tourism revival, Minister rules out imminent reopening in Spain as Germany extends travel warning, minister rules imminent reopening spain germany extends travel warning,https://www.theguardian.com/world/2020/apr/29/spain-germany-deal-blow-hopes-tourism-revival-coronavirus
29/4/2020,coronavirus;technology,Guardian,UK,australia;china, China bristles at Australia's call for investigation into coronavirus origin, Beijing warns relationship could be damaged ‘beyond repair’ after Australian prime minister Scott Morrison cites ‘extraordinary’ impact of Covid-19, beijing warns relationship could damaged ‘beyond repair’ australian prime minister scott morrison cites ‘extraordinary’ impact covid 19,https://www.theguardian.com/world/2020/apr/29/australia-defends-plan-to-investigate-china-over-covid-19-outbreak-as-row-deepens
29/4/2020,coronavirus;technology,Guardian,UK,germany, Germany to set out rules for religious services including singing ban, Angela Merkel to meet with state leaders over safely conducting services during pandemic, angela merkel meet state leaders safely conducting services pandemic,https://www.theguardian.com/world/2020/apr/29/germany-to-set-out-rules-for-religious-services-including-singing-ban
29/4/2020,coronavirus;technology,Guardian,UK,india, Mobs stop Indian doctors' burials: 'Covid-19 took his life  why take his dignity?', Attack on funeral of Tamil Nadu neurosurgeon just one example of coronavirus misinformation, attack funeral tamil nadu neurosurgeon one example coronavirus misinformation,https://www.theguardian.com/world/2020/apr/29/mobs-stop-indian-doctors-burials-covid-19
29/4/2020,technology;coronavirus,Guardian,UK,myanmar;bangladesh, Myanmar military may be repeating crimes against humanity  UN rapporteur warns, Yanghee Lee says the army is ‘maximising suffering’ on Rohingya and other people in attacks reminiscent of the 2017 assault in Rakhine state, yanghee lee says army ‘maximising suffering’ rohingya people attacks reminiscent 2017 assault rakhine state,https://www.theguardian.com/world/2020/apr/29/myanmar-military-may-be-repeating-crimes-against-humanity-un-rapporteur-warns
29/4/2020,technology;coronavirus,Guardian,UK,india, Irrfan Khan dies aged 53, Khan  an icon of Indian cinema who had a string of Anglo-American successes under his belt  including Slumdog Millionaire  Life of Pi and Jurassic World  has died in Mumbai, khan  icon indian cinema string anglo american successes belt  including slumdog millionaire  life pi jurassic world  died mumbai,https://www.theguardian.com/film/2020/apr/29/bollywood-star-irrfan-khan-dies-aged-53
29/4/2020,coronavirus;government,Guardian,UK,spain, Airlines may not recover from Covid-19 crisis for five years  says Airbus, Pandemic is ‘gravest crisis aerospace industry has ever known’  says Guillaume Faury, pandemic ‘gravest crisis aerospace industry ever known’  says guillaume faury,https://www.theguardian.com/business/2020/apr/29/airlines-may-not-recover-from-covid-19-crisis-for-five-years-says-airbus
29/4/2020,coronavirus;technology,Guardian,UK,, Elon Musk tweets protest against US coronavirus lockdown, Tesla founder says ‘FREE AMERICA NOW’ in outburst against economic impact, tesla founder says ‘free america now’ outburst economic impact,https://www.theguardian.com/technology/2020/apr/29/elon-musk-tweets-protest-against-us-coronavirus-lockdown
29/4/2020,coronavirus;technology,Guardian,UK,china, World's stock markets soar on coronavirus treatment hopes, Investors shrug off US growth gloom after promising data from remdesivir drug trial, investors shrug us growth gloom promising data remdesivir drug trial,https://www.theguardian.com/business/2020/apr/29/world-stock-markets-coronavirus-treatment-remdesivir-drug-trial
29/4/2020,technology;coronavirus,Guardian,UK,denmark;ireland;sweden, Dixons Carphone plans drive-through and contactless shops, Retailer views Nordic outlets  which remain open  as model for UK stores post-lockdown, retailer views nordic outlets  remain open  model uk stores post lockdown,https://www.theguardian.com/business/2020/apr/29/dixons-carphone-plans-drive-through-and-contactless-shops
29/4/2020,coronavirus;technology,Guardian,UK,germany;ireland, Next warns sales will fall 'faster and steeper' than expected in pandemic, Retailer cancels dividend and share buyback scheme ahead of projected 40% slump this year, retailer cancels dividend share buyback scheme ahead projected 40  slump year,https://www.theguardian.com/business/2020/apr/29/next-warns-sales-will-fall-faster-and-steeper-than-expected-during-crisis
29/4/2020,technology;coronavirus,Guardian,UK,, Odeon bans all Universal Pictures films as studio skips cinema releases, Fast & Furious maker to break with tradition and release some films direct to streaming services, fast   furious maker break tradition release films direct streaming services,https://www.theguardian.com/film/2020/apr/29/odeon-bans-all-universal-pictures-films-as-studio-skips-cinema-releases
29/4/2020,coronavirus;technology,Guardian,UK,, Barclays may have to put aside £4.5bn to cover bad debts due to coronavirus, Bank reports £2.1bn charge for first quarter as customers struggle to repay loans, bank reports £2 1bn charge first quarter customers struggle repay loans,https://www.theguardian.com/business/2020/apr/29/barclays-may-have-to-put-aside-45bn-to-cover-bad-debts-due-to-coronavirus
28/4/2020,coronavirus;technology,Guardian,UK,australia, British Airways plans to make up to 12 000 staff redundant, BA boss says more than one in four jobs could go as coronavirus causes global collapse in air travel, ba boss says one four jobs could go coronavirus causes global collapse air travel,https://www.theguardian.com/business/2020/apr/28/british-airways-plans-to-make-up-to-12000-staff-redundant
29/4/2020,coronavirus;technology,Guardian,UK,, Coronavirus crisis could lead to 18 000 more cancer deaths  experts warn, Analysis models impact over next year of delays in getting diagnosis and treatment, analysis models impact next year delays getting diagnosis treatment,https://www.theguardian.com/society/2020/apr/29/extra-18000-cancer-patients-in-england-could-die-in-next-year-study
28/4/2020,coronavirus;technology,Guardian,UK,, Guardian tops poll of national papers for coronavirus coverage, Twice as many Britons feel outlet is doing a ‘good job’ compared with nearest rival  amid record traffic to its website, twice many britons feel outlet ‘good job’ compared nearest rival  amid record traffic website,https://www.theguardian.com/media/2020/apr/28/guardian-tops-poll-of-national-papers-for-coronavirus-coverage
28/4/2020,coronavirus;technology,Guardian,UK,, Refuges from domestic violence running out of space  MPs hear, Dame Vera Baird warns select committee Covid-19 lockdown is leading to ‘perfect storm’, dame vera baird warns select committee covid 19 lockdown leading ‘perfect storm’,https://www.theguardian.com/society/2020/apr/28/refuges-from-domestic-violence-running-out-of-space-mps-hear
28/4/2020,coronavirus,Guardian,UK,spain;italy, I'm a GP who got coronavirus because I had no PPE. I feel guilty but also angry, We were left unprotected and felt like we were going into a battlefield. I don’t think our profession will ever be the same, left unprotected felt like going battlefield  don’t think profession ever,https://www.theguardian.com/society/2020/apr/28/gp-coronavirus-no-ppe-guilty-angry
28/4/2020,coronavirus;technology,Guardian,UK,, All key workers should get bereaved family payments  say unions, Call to extend £60 000 payouts for NHS staff relatives to others on frontline such as bus drivers, call extend £60 000 payouts nhs staff relatives others frontline bus drivers,https://www.theguardian.com/world/2020/apr/28/calls-include-bus-drivers-60k-payouts-coronavirus-deaths
28/4/2020,coronavirus;government,Guardian,UK,, Ministers split over coronavirus advice on wearing face masks, Matt Hancock expresses scepticism about any change to UK-wide guidance, matt hancock expresses scepticism change uk wide guidance,https://www.theguardian.com/world/2020/apr/28/ministers-split-over-coronavirus-advice-on-wearing-face-masks
28/4/2020,coronavirus;government;technology,Guardian,UK,, The questions No 10 needs to answer over Covid-19 response, From lockdown to PPE  the government is under pressure to provide more clarity, lockdown ppe  government pressure provide clarity,https://www.theguardian.com/world/2020/apr/28/the-questions-no-10-needs-to-answer-over-covid-19-response
28/4/2020,coronavirus;technology,Guardian,UK,, NHS worker stabbed to death by gang 'wearing medical masks', David Gomoh attacked in east London days before funeral of father who died from Covid-19, david gomoh attacked east london days funeral father died covid 19,https://www.theguardian.com/uk-news/2020/apr/28/nhs-worker-david-gomoh-stabbed-death-before-father-funeral-london
28/4/2020,coronavirus;government;technology,Guardian,UK,bangladesh, Son of doctor who died from Covid-19 still hoping for PPE apology, Government ignored letter written by Intisar Chowdhury’s father warning of shortages, government ignored letter written intisar chowdhury’s father warning shortages,https://www.theguardian.com/world/2020/apr/28/son-of-doctor-who-died-from-covid-19-still-hoping-for-ppe-apology
28/4/2020,coronavirus;technology,Guardian,UK,, Gove graciously concedes we haven’t got every single thing right, A statement on coronavirus from the Cabinet Office minister was an exercise in blame-dodging, statement coronavirus cabinet office minister exercise blame dodging,https://www.theguardian.com/politics/2020/apr/28/gove-graciously-concedes-we-havent-got-every-single-thing-right
28/4/2020,coronavirus;technology,Guardian,UK,, Lost henge? Digging archaeology online during lockdown, With excavations shut because of coronavirus  online courses in Britain are experiencing a boom, excavations shut coronavirus  online courses britain experiencing boom,https://www.theguardian.com/education/2020/apr/28/lost-henge-digging-archaeology-online-during-lockdown
28/4/2020,coronavirus;government,Guardian,UK,, Calls for more space for walking and cycling in UK during lockdown, Experts urge councils to reallocate roads and prevent congestion when restrictions are lifted, experts urge councils reallocate roads prevent congestion restrictions lifted,https://www.theguardian.com/world/2020/apr/28/calls-for-more-space-walking-cycling-uk-during-lockdown-coronavirus
29/4/2020,coronavirus;government,Guardian,UK,, 'Cancer patients like me are just getting forgotten about', Covid-19 has led to hospitals suspending cancer treatment and deterred some from seeking care. Here  one patient tells his story, covid 19 led hospitals suspending cancer treatment deterred seeking care   one patient tells story,https://www.theguardian.com/society/2020/apr/29/cancer-patients-like-me-are-just-getting-forgotten-about
28/4/2020,coronavirus;technology,Guardian,UK,, Care home fatalities to be included in daily coronavirus death tolls, Move comes after sharp rise of more than 4 300 deaths over a fortnight in England and Wales, move comes sharp rise 4 300 deaths fortnight england wales,https://www.theguardian.com/world/2020/apr/28/uk-records-4343-care-home-coronavirus-deaths-in-a-fortnight
28/4/2020,technology;coronavirus,Guardian,UK,brazil, Jair Bolsonaro faces inquiry into claims of meddling with police, Brazil’s top court approves investigation into explosive allegations against president, brazil’s top court approves investigation explosive allegations president,https://www.theguardian.com/world/2020/apr/28/jair-bolsonaro-faces-inquiry-into-claims-of-meddling-with-police
28/4/2020,technology;coronavirus,Guardian,UK,, Lithuanian capital to be turned into vast open-air cafe, Vilnius gives public space to bars and cafes to allow physical distancing during lockdown, vilnius gives public space bars cafes allow physical distancing lockdown,https://www.theguardian.com/world/2020/apr/28/lithuanian-capital-to-be-turned-into-vast-open-air-cafe-vilnius
28/4/2020,coronavirus;technology,Guardian,UK,austria;spain;france;italy, Can Europe’s restaurants survive the coronavirus lockdown?, Chefs and owners fear bankruptcy as continent’s gastronomic culture remains in limboby Philip Oltermannin Berlin  Sam Jones in Madrid  Kim Willsher in Paris and Angela Giuffrida in Orvieto, chefs owners fear bankruptcy continent’s gastronomic culture remains limboby philip oltermannin berlin  sam jones madrid  kim willsher paris angela giuffrida orvieto,https://www.theguardian.com/world/2020/apr/28/the-future-looks-bleak-europes-restaurants-after-lockdown
28/4/2020,coronavirus;technology,Guardian,UK,china, UN chief: don't use taxpayer money to save polluting industries, António Guterres calls for coronavirus aid to be directed at firms with green credentials, antónio guterres calls coronavirus aid directed firms green credentials,https://www.theguardian.com/environment/2020/apr/28/un-chief-dont-use-taxpayer-money-to-save-polluting-industries
28/4/2020,technology;coronavirus,Guardian,UK,italy;france, Completion of new Genoa bridge seen as symbol of hope in Italy, Opening hailed but offers little comfort to families of Morandi bridge collapse victims, opening hailed offers little comfort families morandi bridge collapse victims,https://www.theguardian.com/world/2020/apr/28/completion-new-genoa-bridge-symbol-of-hope-italy-morandi
